geometry
"[(278076.2594999969, 3975117.3478999995)]"
"[(273265.9620999992, 3975325.918400001)]"
"[(295279.88159999996, 3975679.6922000013)]"
"[(376058.5491999984, 3976227.158399999)]"
"[(305407.9201000035, 3976386.3599999994)]"
"[(185611.08900000155, 3977033.028000001)]"
"[(272575.59839999676, 3977125.046500001)]"
"[(316969.77440000325, 3977527.2080000006)]"
"[(343970.25360000134, 3977879.707899999)]"
"[(195585.20639999956, 3978110.8649000004)]"
"[(188602.24159999937, 3978186.749499999)]"
"[(353746.16899999976, 3978268.6875)]"
"[(188436.4817999974, 3979031.1202000007)]"
"[(182849.78069999814, 3979154.768199999)]"
"[(384899.9202999994, 3979155.748300001)]"
"[(293838.5930000022, 3979196.4646000005)]"
"[(304220.59220000356, 3979256.226)]"
"[(362227.0367999971, 3979280.2434)]"
"[(317796.0503000021, 3979737.8603000008)]"
"[(379422.33110000193, 3980007.648699999)]"
"[(367340.60369999707, 3980572.739)]"
"[(312327.15349999815, 3980631.640999999)]"
"[(304145.0095999986, 3981434.206599999)]"
"[(385983.01860000193, 3981445.4470999986)]"
"[(201805.5473999977, 3981750.4871999994)]"
"[(301499.6328999996, 3981964.2655999996)]"
"[(320431.42170000076, 3982014.5463000014)]"
"[(361921.47670000046, 3982288.536600001)]"
"[(209641.38400000334, 3982297.3762999997)]"
"[(371180.84059999883, 3982532.8619999997)]"
"[(372043.71360000223, 3982963.2793999985)]"
"[(345465.07859999686, 3982965.677099999)]"
"[(285976.682099998, 3983002.995099999)]"
"[(292309.2857000008, 3983211.9558999985)]"
"[(216649.32230000198, 3983497.835099999)]"
"[(359034.74279999733, 3983511.1790999994)]"
"[(316989.5851000026, 3984495.3077999987)]"
"[(378483.5469999984, 3984663.0348000005)]"
"[(294071.0530000031, 3984688.2184000015)]"
"[(378906.2056000009, 3984953.968699999)]"
"[(343682.7795000002, 3985207.396400001)]"
"[(296527.1881000027, 3985597.849100001)]"
"[(290327.95059999824, 3985609.989500001)]"
"[(304802.86190000176, 3985959.957800001)]"
"[(277730.95430000126, 3986008.2853999995)]"
"[(296827.73849999905, 3986080.4312000014)]"
"[(323889.4197999984, 3986503.168299999)]"
"[(284944.46630000323, 3986894.0832)]"
"[(356833.71559999883, 3987419.933699999)]"
"[(314616.41390000284, 3987528.0940999985)]"
"[(352645.90160000324, 3987581.0639999993)]"
"[(321470.65839999914, 3988256.7566)]"
"[(370361.8794, 3988443.2223999985)]"
"[(171796.50349999964, 3988739.6050000004)]"
"[(291307.80579999834, 3988815.0463999994)]"
"[(324514.70920000225, 3989312.843699999)]"
"[(324518.5996999964, 3989317.785500001)]"
"[(377475.5719999969, 3989412.256099999)]"
"[(368401.9887999967, 3989603.817400001)]"
"[(377917.2380999997, 3989671.246100001)]"
"[(310827.98380000144, 3989682.4459000006)]"
"[(318486.7281000018, 3990644.581799999)]"
"[(322512.8752000034, 3991176.8608999997)]"
"[(294842.99880000204, 3991342.7467)]"
"[(358465.0603, 3991448.7624999993)]"
"[(363257.34860000014, 3991470.5144000016)]"
"[(363253.3176999986, 3991471.6558)]"
"[(280269.6819999963, 3991539.9587000012)]"
"[(288403.6431000009, 3991804.1567)]"
"[(286321.4255999997, 3991844.8214999996)]"
"[(293826.14599999785, 3991984.487399999)]"
"[(327840.3999999985, 3992232.8643999994)]"
"[(192509.8972999975, 3992802.9420000017)]"
