geometry
"[(395186.32450000197, 4093469.864)]"
"[(414520.1004000008, 4093905.6378000006)]"
"[(441999.8498999998, 4094262.5150999986)]"
"[(415781.69210000336, 4094604.8106999993)]"
"[(377107.53350000083, 4095497.931499999)]"
"[(427822.23359999806, 4095525.0857999995)]"
"[(421499.59529999644, 4095638.8282999992)]"
"[(360373.07400000095, 4096237.902399998)]"
"[(430577.2653999999, 4096631.269699998)]"
"[(392710.65420000255, 4096737.4705)]"
"[(385989.30640000105, 4096980.093199998)]"
"[(365028.16049999744, 4097640.0392999984)]"
"[(379662.89890000224, 4097823.1264000013)]"
"[(434840.36869999766, 4098389.6141000018)]"
"[(328981.4522999972, 4098621.0683000013)]"
"[(328978.49390000105, 4098621.2826999985)]"
"[(346835.3748999983, 4099318.7914999984)]"
"[(438244.0024999976, 4099459.526299998)]"
"[(399009.0693999976, 4099751.905000001)]"
"[(445187.27849999815, 4100188.376699999)]"
"[(393876.5152999982, 4100606.9926999994)]"
"[(440115.67660000175, 4100841.6385000013)]"
"[(431276.4101999998, 4101058.944600001)]"
"[(346759.6783000007, 4101132.3088000007)]"
"[(413497.31059999764, 4101250.6132000014)]"
"[(405511.76160000265, 4103685.8049999997)]"
"[(391299.28589999676, 4104851.6011999995)]"
"[(445722.1228, 4104913.7798000015)]"
"[(381028.7128000036, 4108026.7474000007)]"
"[(444408.0645999983, 4109765.3029000014)]"
"[(425627.72410000116, 4109779.065200001)]"
"[(371660.4311000034, 4111253.6187999994)]"
"[(400791.60400000215, 4112347.636599999)]"
"[(395373.81870000064, 4113964.6334999986)]"
"[(436833.95700000226, 4117940.6937999986)]"
"[(351972.22089999914, 4119513.1554000005)]"
"[(413337.4895000011, 4121941.3018999994)]"
"[(375640.45650000125, 4122328.525199998)]"
"[(402350.1454000026, 4123533.9109999985)]"
"[(392647.9400999993, 4123656.9098999985)]"
"[(373685.8275000006, 4123733.600400001)]"
"[(454361.12089999765, 4124299.915100001)]"
"[(411969.58579999954, 4125354.5967999995)]"
"[(402492.5715999976, 4126597.1174999997)]"
"[(401584.7533000037, 4127132.7126)]"
"[(363540.13910000026, 4127261.2399999984)]"
"[(407470.3500000015, 4129075.780699998)]"
"[(380002.8931000009, 4129183.9778999984)]"
"[(403767.3910000026, 4129858.679299999)]"
"[(365812.8365999982, 4131077.9968999997)]"
"[(452493.7296999991, 4131473.8904)]"
"[(397948.40299999714, 4133593.1022000015)]"
"[(371868.90139999986, 4133932.9329999983)]"
"[(394134.2850999981, 4134058.5375000015)]"
"[(391497.34149999917, 4134795.0854)]"
"[(433430.7503999993, 4135873.845899999)]"
"[(359305.9448999986, 4136168.7683000006)]"
"[(378352.10170000046, 4136199.7128)]"
"[(373527.13379999995, 4136774.038400002)]"
"[(405521.02319999784, 4138221.7809999995)]"
"[(443136.2377000004, 4140076.333900001)]"
"[(442384.7044999972, 4140255.8082000017)]"
"[(455277.99849999696, 4140710.151700001)]"
"[(408962.8321999982, 4140761.9037999995)]"
"[(422315.44569999725, 4140847.4288999997)]"
"[(382484.6032000035, 4141605.0469000004)]"
"[(421289.1617999971, 4142210.827799998)]"
"[(364909.1877999976, 4142618.8310000002)]"
"[(401014.0006000027, 4143505.7179999985)]"
"[(382980.5754000023, 4144458.731800001)]"
"[(355377.2408000007, 4145054.314100001)]"
"[(379083.8049999997, 4146066.6026999988)]"
"[(371420.08640000224, 4146386.3627000004)]"
"[(405981.5654999986, 4147330.4389999993)]"
"[(452231.3686000034, 4147821.6609000005)]"
"[(363824.24379999936, 4149332.3603000008)]"
"[(386252.5119000003, 4150648.9244000018)]"
"[(359587.72119999677, 4150716.3834999986)]"
"[(388209.23359999806, 4150835.214899998)]"
"[(366298.924999997, 4150931.1000999995)]"
"[(408470.5445000008, 4151120.0113000013)]"
"[(375827.20799999684, 4151375.1873000003)]"
"[(358913.5288999975, 4151960.483100001)]"
"[(463127.1651000008, 4152113.8282999992)]"
"[(437414.54869999737, 4152941.924800001)]"
"[(427606.1899000034, 4153832.1171999983)]"
"[(450115.0844999999, 4154236.6085)]"
"[(473529.7177999988, 4154422.5210999995)]"
"[(396929.1040999964, 4154559.3038999997)]"
"[(449981.1586000025, 4156792.8737000003)]"
"[(393055.29190000147, 4157633.8762000017)]"
"[(384604.88639999926, 4157858.6138999984)]"
"[(410449.92180000246, 4158084.5067000017)]"
"[(384613.28660000116, 4158422.8137000017)]"
"[(384712.5298999995, 4158626.685800001)]"
"[(379675.0275000036, 4158849.5132)]"
"[(457864.81109999865, 4159027.9195999987)]"
"[(443586.6152999997, 4160095.9290999994)]"
"[(467522.0442999974, 4160482.9836999997)]"
"[(436209.15399999917, 4161365.5051000006)]"
"[(371304.34579999745, 4161650.7569999993)]"
"[(410584.90309999883, 4162507.5262)]"
"[(424824.9193999991, 4162769.3319000006)]"
"[(407724.5091999993, 4163079.995000001)]"
"[(372268.03809999675, 4165793.0823)]"
"[(433076.6221999973, 4166329.8013999984)]"
"[(359790.3620999977, 4167079.2797)]"
"[(442736.67660000175, 4168211.4771)]"
"[(462399.6142999977, 4168360.9475999996)]"
"[(394329.95319999754, 4168560.4833999984)]"
"[(417940.3244000003, 4169714.850299999)]"
"[(406638.97559999675, 4170989.0782999992)]"
"[(426938.7207000032, 4171185.9098999985)]"
"[(421977.57900000364, 4173038.943599999)]"
"[(385228.505400002, 4173634.7128)]"
"[(425138.54349999875, 4173704.1103999987)]"
"[(406987.5292999968, 4174484.3024999984)]"
"[(390204.72119999677, 4175285.600499999)]"
"[(362064.1721000001, 4176259.9360999987)]"
"[(413205.62409999967, 4176493.9635999985)]"
"[(426849.94829999655, 4176748.346099999)]"
"[(385043.3941999972, 4178118.6218000017)]"
"[(417526.1598000005, 4178819.0911)]"
"[(396427.692900002, 4178970.7478)]"
"[(369713.2050999999, 4183854.4202999994)]"
"[(367831.4614999965, 4185711.028499998)]"
"[(397379.750500001, 4191484.2025999986)]"
"[(388344.3515999988, 4192304.902399998)]"
"[(378582.3924999982, 4194407.798300002)]"
"[(384168.91839999706, 4197212.399599999)]"
"[(376948.36200000346, 4200525.120900001)]"
"[(376663.5518999994, 4203087.339000002)]"
"[(367978.63639999926, 4204877.024799999)]"
"[(373386.42890000343, 4210406.161499999)]"
"[(376806.00609999895, 4214548.981899999)]"
"[(359706.76590000093, 4215680.972600002)]"
"[(389077.37590000033, 4215970.454)]"
"[(362788.2885000035, 4221719.364599999)]"
"[(373189.39890000224, 4225802.6620000005)]"
"[(365996.3475999981, 4227180.241599999)]"
"[(374380.7246999964, 4227214.546300001)]"
"[(390550.3597000018, 4235449.8807)]"
"[(362170.67440000176, 4236230.5834)]"
"[(382453.61819999665, 4237339.433699999)]"
"[(371858.22089999914, 4242136.494800001)]"
"[(375584.9663999975, 4251351.1006000005)]"
"[(359720.6093999967, 4252518.1426)]"
"[(358615.34170000255, 4257887.387800001)]"
"[(366501.7863000035, 4258224.267499998)]"
"[(367782.0349000022, 4269184.362300001)]"
"[(372793.2446999997, 4274854.8288)]"
